"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"31","oedi mabuhay ang @LTFRB ginagalingan masydo. https://t.co/w3wAOnv6MF",FALSE,0,NA,2017-08-14 18:29:23,FALSE,NA,"897163257005326338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rome_john",0,FALSE,FALSE,NA,NA
"32","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:29:06,FALSE,NA,"897163185471410177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Avery_Scott2015",206,TRUE,FALSE,NA,NA
"33","it's almost 1.30 am and the tweets against @ltfrb are still coming in. ltfrb is now a celebrity!",FALSE,0,NA,2017-08-14 18:29:04,FALSE,NA,"897163175832952832",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","dyonisii",0,FALSE,FALSE,NA,NA
"34","ÈÅãËº∏ÁúÅLTFRB„ÅØÈÖçËªä„Çµ„Éº„Éì„Çπ„ÅÆ„Ç¶„Éº„Éê„Éº„Å´1„Ç´Êúà„ÅÆÂñ∂Ê•≠ÂÅúÊ≠¢„ÇíÂëΩ‰ª§ Ôºà„Åæ„Å´„ÇâÊñ∞ËÅûÔºâ",FALSE,0,NA,2017-08-14 18:28:20,FALSE,NA,"897162991908536321",NA,"<a href=""http://twitter.com/svtter"" rel=""nofollow"">svtter</a>","svtter",0,FALSE,FALSE,NA,NA
"35","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:28:08,FALSE,NA,"897162942495338496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raeddawn",206,TRUE,FALSE,NA,NA
"36","RT @ORayven: @SenGracePOE LTFRB chooses to suspend Uber to allow taxi drivers to continue to harass and take advantage of the commuters.",FALSE,0,NA,2017-08-14 18:27:44,FALSE,NA,"897162842259857409",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","dyonisii",1,TRUE,FALSE,NA,NA
"37","RT @raegangav: LTFRB needs to suspend itself",FALSE,0,NA,2017-08-14 18:27:38,FALSE,NA,"897162815328337920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nettimedida",88,TRUE,FALSE,NA,NA
"38","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:27:34,FALSE,NA,"897162799012397056",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","dyonisii",206,TRUE,FALSE,NA,NA
"39","1 month suspencion of UBER and GRAB from LTFRB. For what? Giving safe and proper service for all their commuters a.‚Ä¶ https://t.co/M0vSO86APC",FALSE,0,NA,2017-08-14 18:27:21,TRUE,NA,"897162745719668736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akusiberry",0,FALSE,FALSE,NA,NA
"40","RT @ItsKidEli: Fuck ltfrb https://t.co/xOjUzegrzO",FALSE,0,NA,2017-08-14 18:27:06,FALSE,NA,"897162680246558721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raeddawn",1,TRUE,FALSE,NA,NA
"41","RT @krizzy_kalerqui: .@LTFRB fair enough??? https://t.co/eS3B7kk4bq",FALSE,0,NA,2017-08-14 18:26:50,FALSE,NA,"897162616346353664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rome_john",124,TRUE,FALSE,NA,NA
"42","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:26:43,FALSE,NA,"897162586608680960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RaikaRodriguez",206,TRUE,FALSE,NA,NA
"43","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:26:32,FALSE,NA,"897162540983107586",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thejosephsonajo",206,TRUE,FALSE,NA,NA
"44","RT @edsMNL: Uber suspended. Yung MRT sira pa rin, mga mandurugas pa rinang mga taxi driver, at makikipagpatayan ka sa bus.

LTO/LTFRB tangi‚Ä¶",FALSE,0,NA,2017-08-14 18:26:31,FALSE,NA,"897162535480074241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luginageorge",741,TRUE,FALSE,NA,NA
"45","RT @thatguySLATER: LTFRB: ""Taxis are unsafe. Buses cause traffic. MRT keeps breaking down.""
LTFRB: ""Hmm.. Let's cancel UBER!"" 
Ì†ΩÌπÑ
#PrayforLT‚Ä¶",FALSE,0,NA,2017-08-14 18:25:49,FALSE,NA,"897162360779030528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cathgnrl",385,TRUE,FALSE,NA,NA
"46","Fuck LTFRB fuck you.",FALSE,2,NA,2017-08-14 18:25:42,FALSE,NA,"897162331175755781",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kaiserenity",0,FALSE,FALSE,NA,NA
"47","RT @edsMNL: Uber suspended. Yung MRT sira pa rin, mga mandurugas pa rinang mga taxi driver, at makikipagpatayan ka sa bus.

LTO/LTFRB tangi‚Ä¶",FALSE,0,NA,2017-08-14 18:25:42,FALSE,NA,"897162327933435905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hallujjangu",741,TRUE,FALSE,NA,NA
"48","@LTFRB @Uber And how can u say that @Uber isn't safe if you aren't taking any ride they provide at all.Ì†æÌ¥î",FALSE,0,"samanthavelayo",2017-08-14 18:25:35,FALSE,"897160384624205824","897162301622566914","814439870","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","samanthavelayo",0,FALSE,FALSE,NA,NA
"49","RT @edsMNL: Uber suspended. Yung MRT sira pa rin, mga mandurugas pa rinang mga taxi driver, at makikipagpatayan ka sa bus.

LTO/LTFRB tangi‚Ä¶",FALSE,0,NA,2017-08-14 18:25:34,FALSE,NA,"897162295553409030",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","colengprc",741,TRUE,FALSE,NA,NA
"50","RT @cnnphilippines: BREAKING: @LTFRB issues advisory to all Uber TNVS. https://t.co/sDo55hwVGt https://t.co/OUduZ7bsRb",FALSE,0,NA,2017-08-14 18:25:30,FALSE,NA,"897162279812304896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ailab1103",162,TRUE,FALSE,NA,NA
"51","RT @keiakamatsu: Ginagago ba tayo ng @LTFRB? #LTFRB101 Ì†ºÌ∑µÌ†ºÌ∑≠",FALSE,0,NA,2017-08-14 18:25:28,FALSE,NA,"897162271784263680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariamnlng",6,TRUE,FALSE,NA,NA
"52","RT @SenGracePOE: Statement on LTFRB's order to suspend Uber https://t.co/tqIERRF0bY",FALSE,0,NA,2017-08-14 18:24:56,FALSE,NA,"897162136660590592",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","D_c6677",206,TRUE,FALSE,NA,NA
