"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"36","May bigayan ba ng jewelry sa uber? Hahaha",FALSE,0,NA,2017-08-14 10:50:17,FALSE,NA,"897047718605897728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imhrvycstr",0,FALSE,FALSE,NA,NA
"37","UBER PALA",FALSE,0,"marhaeee",2017-08-14 10:14:03,FALSE,"897036201940537345","897038601350914050","78595881","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","marhaeee",0,FALSE,FALSE,NA,NA
"38","You're the best talaga @Uber https://t.co/ow6DYBW1L3",FALSE,7,NA,2017-08-14 04:59:05,FALSE,NA,"896959337830141953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CzarinaFierce",0,FALSE,FALSE,NA,NA
"39","Huhu bat amoy kiwi na panglinis ng sapatos yung uber na nasakyan ko :(",FALSE,1,NA,2017-08-14 02:57:04,FALSE,NA,"896928632156733443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kririhanna",0,FALSE,FALSE,NA,NA
"40","Dapat makarating ako mamaya ng Makati with the least possible cost. No uber-grab.",FALSE,1,NA,2017-08-14 02:16:56,FALSE,NA,"896918532520148993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jobsshhi",0,FALSE,FALSE,NA,NA
"41","Naisip ko pang mag uber kaso tangina lowbat na ako naiiyak ako may report ako at quiz namin naiiyak ako literal",FALSE,0,"sheynestefano",2017-08-14 00:48:24,FALSE,"896895638528380928","896896251223973888","183947243","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sheynestefano",0,FALSE,FALSE,NA,NA
"42","Yesterday I saw a man wearing cebu shirt, now my mom's uber driver speaks Cebuano!!! Huhuhu",FALSE,1,NA,2017-08-14 00:27:12,FALSE,NA,"896890918048890880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarjSldjno",0,FALSE,FALSE,NA,NA
"43","roadtrip 'tong uber pool jusko",FALSE,1,NA,2017-08-13 20:20:26,FALSE,NA,"896828814386282497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mayanc_",0,FALSE,FALSE,NA,NA
"44","sweet ng uber driver ko tonight!! when he knew na pauwi ako ng probinsya he said ""ingat po kayo ma'am ha."" Ì†æÌ¥ó 5 stars!! hehe",FALSE,2,NA,2017-08-13 14:35:16,FALSE,NA,"896741949834539008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThreeshaaDee",0,FALSE,FALSE,NA,NA
"45","I just had the best Uber experience a while ago! This is the first I met an undercover detective! Amazing ng stories niya with videos pa!!!",FALSE,1,NA,2017-08-13 14:28:17,FALSE,NA,"896740195302752257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theruthanne",0,FALSE,FALSE,NA,NA
